id,TIME,Gender,Age,MarStat,Role,SportBack,SpHis,SpLevel,SportExp,PRAT_,PGRT_,SACST_,SATT_,SACENT_,SAUNCT_,SACOT_,SACHT_,PAT_,NAT_,ABALT_,REST_,PCSET_,PCHOPET_,PCREST_,PCOPT_,DHAST_,DUPT_,MLE,UpLift,REGGBT_,REGST_
57,2,1,28,1,2,1,2,,,4,2.888888889,3,2.75,2.75,3.5,3.5,3.25,3.2,1.6,1.6,2.96,3.5,3.833333333,16,3.333333333,1.952380952,2.261904762,2,,5,9
57,3,1,28,1,2,1,2,,,3.714285714,2.111111111,3,3.25,2.75,3.25,3,2.75,2.6,1.6,1,2.96,3.666666667,3,15,3.166666667,2.333333333,2.333333333,1,,5,13
57,4,1,28,1,2,1,2,,,3.142857143,3.111111111,3,3.5,2.75,3.5,2.5,2.75,2.6,1.7,0.9,2.88,3,3.666666667,16,3.5,2.285714286,2.619047619,2,Called up for jury service,2,8
58,1,2,31,2,2,1,1,4,5,4.428571429,3.555555556,3.75,1.5,2,1.5,3,3.75,3.8,1.4,2.4,3.48,4.833333333,4.666666667,21,3.333333333,2.166666667,3,2,No,1,12
58,2,2,31,2,2,1,1,4,5,4,4,4,2,3,2.25,3.5,4,3.7,1.5,2.2,3.6,5,4.666666667,22,3.5,2.166666667,3.166666667,2,,2,11
58,3,2,31,2,2,1,1,4,5,4.142857143,3.555555556,4,1.25,4,1.5,3.75,3.75,3.8,1.3,2.5,3.6,4.833333333,4.666666667,23,3.5,2.214285714,3.428571429,2,,0,13
58,4,2,31,2,2,1,1,4,5,4,4,4,1,3.5,1.5,4,4,3.8,1.1,2.7,3.8,4.833333333,5,21,3.666666667,2.238095238,3.547619048,2,,0,11
59,1,2,45,2,2,1,2,,,3.571428571,3.555555556,3.5,1.25,1.5,1.5,4,3.75,2.9,1.8,1.1,3.56,4.333333333,4.333333333,17,3.666666667,2.571428571,3.047619048,1,,6,17
59,2,2,45,2,2,1,2,,,3.714285714,3.333333333,3.75,1.25,1.5,1.25,3.75,3.75,4,1.3,2.7,3.72,5,4.166666667,20,4.166666667,2.333333333,3.19047619,,,4,14
59,3,2,45,2,2,1,2,,,4,4.444444444,4.25,1.25,2.75,1,4,3.25,4.5,1.3,3.2,4.08,4.833333333,4.666666667,21,4.166666667,2.404761905,2.976190476,,,2,15
59,4,2,45,2,2,1,2,,,4.571428571,4,4,1.75,1.75,1.5,4,4.25,3.6,1.2,2.4,3.76,5.166666667,4.666666667,22,4.833333333,2.428571429,3.19047619,,,1,11
60,1,1,41,2,1,1,1,2,5,5,4,2.75,2.5,3.5,1.5,1.25,1.75,1.4,2.5,-1.1,3.24,4,4.166666667,15,3.666666667,3.428571429,3.404761905,1,Na,5,21
60,2,1,41,2,1,1,1,2,5,4.285714286,4.111111111,4.5,4.25,4,3.5,4,3.75,2,3.5,-1.5,3.916666667,4.5,4.833333333,18,4.166666667,3.119047619,3.285714286,2,,11,30
60,3,1,41,2,1,1,1,2,5,3.857142857,3.111111111,2.75,2.5,2.75,2.5,2.75,2.75,2.1,2.6,-0.5,3.64,4.666666667,4.833333333,20,4.5,2.904761905,2.952380952,2,,6,16
60,4,1,41,2,1,1,1,2,5,4,3.333333333,3.5,3.25,3.25,3.25,3.5,3.5,1.7,3.3,-1.6,3.12,4,4.166666667,18,3.666666667,2.404761905,2.595238095,2,,6,19
61,1,2,27,1,1,1,2,,,4.285714286,4.333333333,4,2.25,3,2,3.25,3.75,4.1,1.4,2.7,4.08,5,5.333333333,27,4.5,2,3.142857143,2,No,0,13
61,2,2,27,1,1,1,2,,,4,3.888888889,3.5,2.25,3,2.5,2.75,3.75,3.8,1.5,2.3,3.92,5,4.666666667,22,2.833333333,2.166666667,3.333333333,2,No,1,13
61,3,2,27,1,1,1,2,,,4,4.222222222,4,4,3.75,3.5,3.5,3.5,3.3,2.8,0.5,3.84,4.833333333,4.5,19,3.666666667,2.119047619,3.119047619,1,No,3,16
61,4,2,27,1,1,1,2,,,4,3.888888889,3.75,3.25,3.5,3.25,4,2.75,3.7,1.4,2.3,4.56,5.666666667,5.5,23,5.833333333,2.047619048,3.714285714,2,No,-1,12
62,1,1,25,2,2,1,1,4,4,4.285714286,3.888888889,4.5,2,3,1,5,4.25,3.8,1.3,2.5,4.04,4.5,4.333333333,25,3.666666667,2.428571429,3.047619048,2,,4,14
62,2,1,25,2,2,1,1,4,4,4,3.888888889,4,2.75,2.75,1.75,4,3.25,2.8,1.5,1.3,3.56,4.166666667,4.5,23,3.833333333,2.595238095,2.833333333,2,,4,13
62,3,1,25,2,2,1,1,4,4,4,4.111111111,4,2.25,2.5,1,4,3.75,3.1,1.3,1.8,3.68,5,4.666666667,23,3.833333333,2.380952381,2.738095238,2,,-1,13
62,4,1,25,2,2,1,1,4,4,4,4.222222222,4.75,2,3.25,1,4.75,3.25,2.9,1.3,1.6,3.8,4.833333333,5,20,4,2.714285714,3,,,-1,14
63,1,1,26,2,1,1,2,,,4.142857143,4,4.25,2.5,2.75,1.75,2.75,4.25,3.9,1.9,2,4,6,5.5,25,3.5,2.428571429,2,1,,0,16
64,1,2,56,2,2,1,2,,,3,2.333333333,4.5,1.5,1.75,1,4,2,3.1,1,2.1,4.32,5.333333333,4.833333333,25,3.833333333,2.047619048,2.619047619,2,,2,14
64,2,2,56,2,2,1,2,,,3.428571429,2.222222222,3.5,1.5,1.25,1,4.5,2.75,3.7,1.5,2.2,3.48,5.333333333,4.833333333,25,3.333333333,2.19047619,2.80952381,2,,0,18
64,3,2,56,2,2,1,2,,,3.428571429,1.888888889,3.75,1.5,2,1,3.25,3.25,2.8,1.5,1.3,2.96,5,5.166666667,24,3.5,1.952380952,2.238095238,2,,-1,8
64,4,2,56,2,2,1,2,,,3.428571429,1.555555556,4,1,1.75,1.5,4.5,2.25,2.6,1.8,0.8,3.583333333,5.166666667,5,24,3.666666667,2.261904762,2.238095238,2,,2,16
65,1,2,27,2,2,1,1,4,5,3.857142857,4,5,1,1.75,2,5,4,4.5,2.1,2.4,4.44,5.333333333,5.166666667,22,4.166666667,2.071428571,3.285714286,2,No,-1,13
65,2,2,27,2,2,1,1,4,5,3.714285714,4.111111111,5,1,1.5,1,5,4.75,4.6,1.5,3.1,4.52,5.833333333,5.666666667,23,4,2.071428571,3.976190476,2,,1,13
65,3,2,27,2,2,1,1,4,5,4.142857143,4.222222222,5,1,1.5,1,5,4.75,4.8,1.7,3.1,4.72,5.5,5.5,24,3.666666667,2.047619048,3.857142857,2,,-1,12
65,4,2,27,2,2,1,1,4,5,4.142857143,4.111111111,5,1,1.5,1,5,5,4.7,1.6,3.1,4.68,5.666666667,5.666666667,26,3.333333333,2.119047619,3.761904762,,,-1,12
66,1,2,24,1,2,1,2,,,4,2.666666667,3.25,4,3.25,2.75,3.75,2.5,2.8,2.3,0.5,3.16,3.333333333,3.333333333,15,2.666666667,2.476190476,2.071428571,2,,12,28
66,2,2,24,1,2,1,2,,,3.285714286,2.888888889,3,2.25,2.5,1.5,4.5,2.75,2.9,1,1.9,3.16,3.333333333,4,12,2.666666667,2.214285714,2.666666667,1,"Answer for above: Co-worker has returned to work, so work is less stressful",9,17
66,3,2,24,1,2,1,2,,,3.714285714,3.666666667,3.5,2.25,3,2,4.5,3.25,2.2,1.3,0.9,3.24,4,4,11,2.833333333,2.333333333,2.452380952,2,,9,27
66,4,2,24,1,2,1,2,,,3.714285714,3.777777778,2,2.5,2.25,2.25,4.5,1.5,1.2,1.2,0,2.92,3,3.5,11,3.166666667,2.380952381,2.595238095,2,,15,28
67,1,2,24,1,2,1,2,,,3.142857143,2,4,2.25,2.25,1.75,4.5,3.25,1.8,1.8,0,3.56,3.666666667,3.833333333,18,3.5,2.547619048,3.30952381,2,,5,13
